search_name,uuid,occurrenceid,catalognumber,family,genus,scientificname,country,stateprovince,geopoint.lon,geopoint.lat,datecollected,collector,recordset,year
Acacia decurrens,0d75ddc3-406e-4fef-beb4-72998bea9439,39ef4b48-65f5-40e2-90f7-37bd8289878a,asc00048338,fabaceae,acacia,acacia decurrens,colombia,bogotá capital district,-74.062827,4.649178,NA,c. johnson,b531ea59-025d-4c29-9d23-99ae75bcd55f,NA
Acacia decurrens,8d0696c9-b8bb-463b-b959-df1b858151f8,4a47596e-48d8-4ac1-ad77-f3f306fec719,mel 0257226a,fabaceae,acacia,acacia decurrens,colombia,bogota,-74.083333,4.616667,NA,"johnson, c.d.",c55ac6d0-180d-41be-829a-e82898c5ca54,NA
Acacia floribunda,8029f7bc-9ebf-4450-9d26-276169800a1a,ld:general:1901857,1901857,fabaceae,acacia,acacia floribunda,argentina,tucumán,-65.27861111,-26.59388889,1949-11-12,h. & o. brücher,f778ecc0-8371-49d5-9ab1-9d75f0b76fad,1949
Acacia mearnsii,3f4268bd-ac33-4250-b111-240a00dcfc56,774da304-7f31-4a83-9630-69cdd38bcf3e,190201,fabaceae,acacia,acacia mearnsii,ecuador,pichincha,-78.5,-0.1166667,NA,j. richard abbott,781fd581-7b93-471e-a025-413e4bcd8491,NA
Acacia melanoxylon,10bab105-42da-46ad-9440-5a570352bbbc,gb:general:gb-94109,gb-94109,fabaceae,acacia,acacia melanoxylon,bolivia,la paz,-68.1,-16.5333,1985-10-13,"nee, michael",d38fd1e8-bc15-46b2-92d5-5f3df98cff53,1985
Acacia melanoxylon,56a6f844-69ad-44ae-8499-84abdaeceddd,1d8c1b5d-ab92-4fec-86df-891d5a7925fe,190202,fabaceae,acacia,acacia melanoxylon,ecuador,pichincha,-78.5,-0.1166667,NA,j. richard abbott,781fd581-7b93-471e-a025-413e4bcd8491,NA
Acacia melanoxylon,9295ad4e-d472-4d52-b218-15defa7687d0,bra:unicamp:uec:180824,180824,fabaceae,acacia,acacia melanoxylon,argentina,córdoba,-64.174167,-32.380556,2009-05-15,"bonzani, ne",d06a16c6-f540-40a8-9e92-876ad1955d03,2009
Acacia melanoxylon,9eb7e8a2-8a4c-47e1-96ff-89e9ec5e6e55,http://n2t.net/ark:/65665/381a9f696-5f65-41cc-9f87-2c9e94291d36,us 3656634,fabaceae,acacia,acacia melanoxylon,colombia,antioquia,-75.48,6.3,1995-05-20,"r. fonnegra g., f. j. roldán & a. acevedo",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1995
Acacia melanoxylon,b9226c0d-38d8-46ec-83ac-6620312e4540,bra:ufrgs:icn:181583,181583,fabaceae,acacia,acacia melanoxylon,argentina,córdoba,-64.1027,-31.0825,2009-05-15,"bonzani, ne",f8866892-56a0-4f46-9583-6719d42d81de,2009
Acacia melanoxylon,f4ee6a79-bcca-4044-b329-c330736b4c81,d475cdb1-208a-45c1-b958-1ca6e5a6938f,cm322941,fabaceae,acacia,acacia melanoxylon,bolivia,la paz,-68.1,-16.5333333333333,NA,"nee, m.",db6c3db9-1e6d-4def-af29-33aa0339bfa9,NA
Acacia neriifolia,0df89e51-f1b0-4c5f-9b62-309bb53258ac,bra:iac:iac:18799,18799,fabaceae(=leguminosae)-53.caesalpinioideae-mimosea,acacia,acacia neriifolia,argentina,2006,-57.9,-28.4167,1934-07-03,t. looser,ca4e7ee9-06f5-4f93-830c-507a6598ec25,1934
Acacia retinodes,e08d923a-445a-4ea1-9fa9-8abf1c61e944,gb:general:gb-94131,gb-94131,fabaceae,acacia,acacia retinodes,bolivia,la paz,0,0,1985-10-10,"nee, michael",d38fd1e8-bc15-46b2-92d5-5f3df98cff53,1985
