search_name,.,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,class,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,locality,decimalLongitude,decimalLatitude,barcode,identifiedBy,yearIdentified,fieldNumber,stateProvince,county,minimumElevationInMeters,individualCount,maximumElevationInMeters,phylum,typeStatus,preparationType,occurrenceRemarks,verbatimLongitude,verbatimLatitude,monthIdentified,dayIdentified,datecollected
Abies pinsapo,,1,2022-10-25 16:39:00-03,NBC,NL-BOTANY,U.1045491,PreservedSpecimen,Plantae,Pinopsida,Pinales,Pinaceae,Abies,pinsapo,Abies pinsapo,Boiss.,Solomon JC; Zeballos R,"Solomon, JC; Zeballos, R 15463",1986,08,04,Southern America,Bolivia,Dpto. La Paz: prov. Murillo. La Paz.,-68.133333,-16.516667,NL-U1045491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-08-04
Abies pinsapo,,2,2014-10-06 16:49:00-03,MO,MO,700209,PreservedSpecimen,Plantae,NA,NA,Pinaceae,Abies,pinsapo,Abies pinsapo,Boiss.,James C. Solomon|R. Zeballos,Solomon 15463,1986,8,4,South America,Bolivia,La Paz. ORNAMENTAL PLANTS.,-68.1333333,-16.5166667,NA,J. C. Solomon,1986,86-41,La Paz,Murillo,3600.00000000,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-08-04
Abutilon peruvianum,,1,2020-05-27 04:37:00-03,MO,MO,2957842,PreservedSpecimen,Plantae,NA,NA,Malvaceae,Abutilon,peruvianum,Abutilon peruvianum,(Lam.) Kearney,Alfredo F. Fuentes|Moises Mendoza|M.C. López|Remy Roque,Fuentes Claros 10071,2006,4,17,South America,Bolivia,"ANMI Apolobamba, Piara hacia Pelechuco. Plantas sin alcoholizar.",-69.0144444,-14.7966666,NA,P. Fryxell (RSA),2008,06-18,La Paz,Franz Tamayo,2700.00000000,1,2900.00000000,NA,NA,NA,NA,NA,NA,NA,NA,2006-04-17
Abutilon peruvianum,,2,2015-04-15 14:16:00-03,MO,MO,100308041,PreservedSpecimen,Plantae,NA,NA,Malvaceae,Abutilon,peruvianum,Abutilon peruvianum,(Lam.) Kearney,Ashley Glenn|Rainer W. Bussmann|Carlos Vega Ocaña|G. Chait|F. Díaz Vega,Glenn 600,2010,7,12,South America,Peru,"Dist. Uchumarca, Chibul.",-77.8747333,-6.9733,NA,RBU,2015,25,La Libertad,Bolivar,2450.00000000,6,2500.00000000,NA,NA,NA,NA,NA,NA,NA,NA,2010-07-12
Abutilon peruvianum,,3,2008-05-27 22:02:00-03,MO,MO,1092533,PreservedSpecimen,Plantae,NA,NA,Malvaceae,Abutilon,peruvianum,Abutilon peruvianum,(Lam.) Kearney,Paul F. Foster|Antony Jardim|F. Moza|C. Sims|R. Roca,Foster 767,1996,8,19,South America,Bolivia,Catarata El Encanto. Parque Nacional Noel Kempff Mercardo. Bosque alto de tierra firme por la senda de Las Cabinas a El Encanto.,-60.71194,-14.66055,NA,P. Fryxell (TEX),1997,NA,Santa Cruz,Velasco,300.00000000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996-08-19
Abutilon peruvianum,,4,2008-05-27 22:02:00-03,MO,MO,1536013,PreservedSpecimen,Plantae,NA,NA,Malvaceae,Abutilon,peruvianum,Abutilon peruvianum,(Lam.) Kearney,Michael H. Nee,Nee 49694,1998,6,7,South America,Bolivia,"Within the Flora de la Region del Parque Nacional Amboro, but above the 700 m contour",-63.78333,-18.11666,NA,"P. Fryxell, 1999/Krapovickas",2000,NA,Santa Cruz,NA,1900.00000000,NA,2000.00000000,NA,NA,NA,NA,NA,NA,NA,NA,1998-06-07
Abutilon peruvianum,,5,2018-05-31 08:45:00-03,MO,MO,184624,PreservedSpecimen,Plantae,NA,NA,Malvaceae,Abutilon,peruvianum,Abutilon peruvianum,(Lam.) Kearney,Israel G. Vargas C.|et al.,Vargas Caballero 1324,1992,5,12,South America,Bolivia,"Parque Nacional Amboró. San Juan del Potrero, Naranjos. Bosques nublados con Myrtaceae y Podocarpaceae en el estrato arbóreo entre las herbáceas de sotobosque se encuentra una especie de Croton y muchas epífitas. Disturbado por ganadería y algunos chacos, y barbechos aislados.",-64.4333333,-17.8833333,NA,M. Nee (MO),2018,134,Santa Cruz,Manuel Maria Caballero,2150.00000000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-05-12
Abutilon peruvianum,,6,2008-05-27 22:02:00-03,MO,MO,185286,PreservedSpecimen,Plantae,NA,NA,Malvaceae,Abutilon,peruvianum,Abutilon peruvianum,(Lam.) Kearney,Percy Núñez V.|C. Paycarmayta,Núñez Vargas 13137,1991,3,8,South America,Peru,"Marcapata; 176 km from Cusco on road to Maldonado, Marcapata remmant forest to Cocha.",-70.9,-13.41666,NA,P. Fryxell (TEX),1999,68,Cusco,Quispicanchis,3150.00000000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-03-08
Abutilon peruvianum,,7,2014-12-16 12:51:00-02,MO,MO,185508,PreservedSpecimen,Plantae,NA,NA,Malvaceae,Abutilon,peruvianum,Abutilon peruvianum,(Lam.) Kearney,Percy Núñez V.,Núñez Vargas 7340,1987,3,6,South America,Peru,"Pomatales, ± 52 km de Cusco desde Pomatales, por Rapcca y Pachar en el camino ferroviario de Cusco a Quillabamba. Subpiso del mesoandino o quebradas bajas en el cañón de Huayocondo.",-72.2333333,-13.3166667,NA,P. Fryxell,1990,87-1,Cusco,Urubamba,2800.00000000,3,2950.00000000,NA,NA,NA,NA,NA,NA,NA,NA,1987-03-06
Abutilon peruvianum,,8,2008-05-27 22:02:00-03,MO,MO,187019,PreservedSpecimen,Plantae,NA,NA,Malvaceae,Abutilon,peruvianum,Abutilon peruvianum,(Lam.) Kearney,Timothy J. Killeen|Israel G. Vargas C.,Killeen 4143,1992,6,7,South America,Bolivia,"25 km al norte de San Juan de Potrero hacia Cerro Bravo. Bosque de Neblino con Podocarpus, Prumnopytis, Cedrilla y helechos arboreos. Muestras preservadas en alcohol.",-64.25,-17.8,NA,P. Fryxell (TEX),1994,48,Santa Cruz,Manuel Maria Caballero,2000.00000000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-06-07
