Name;Año;Category;Count
SELS A1;1;Evergreen Needleleaf Forests: dominated by evergreen conifer trees (canopy >Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.m). Tree cover >60%.;22292
SELS A1;1;Evergreen Needleleaf Forests: dominated by evergreen conifer trees (canopy >Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.m). Tree cover >60%.0;16909
SELS A1;1;Evergreen Needleleaf Forests: dominated by evergreen conifer trees (canopy >Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.m). Tree cover >60%.Evergreen Needleleaf Forests: dominated by evergreen conifer trees (canopy >Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.m). Tree cover >60%.;20550
SELS A1;1;Evergreen Needleleaf Forests: dominated by evergreen conifer trees (canopy >Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.m). Tree cover >60%.Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.;23
SELS A1;1;Evergreen Needleleaf Forests: dominated by evergreen conifer trees (canopy >Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.m). Tree cover >60%.Deciduous Needleleaf Forests: dominated by deciduous needleleaf (larch) trees (canopy >2m). Tree cover >60%.;70
SELS A1;1;Evergreen Needleleaf Forests: dominated by evergreen conifer trees (canopy >Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.m). Tree cover >60%.Deciduous Broadleaf Forests: dominated by deciduous broadleaf trees (canopy >2m). Tree cover >60%.;1
SELS A1;1;Evergreen Needleleaf Forests: dominated by evergreen conifer trees (canopy >Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.m). Tree cover >60%.5;17498
SELS A1;1;Evergreen Needleleaf Forests: dominated by evergreen conifer trees (canopy >Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.m). Tree cover >60%.6;106264
SELS A1;1;Evergreen Needleleaf Forests: dominated by evergreen conifer trees (canopy >Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.m). Tree cover >60%.7;36326
SELS A1;1;Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.;14817
SELS A1;1;Deciduous Needleleaf Forests: dominated by deciduous needleleaf (larch) trees (canopy >2m). Tree cover >60%.;4
SELS A1;1;Deciduous Broadleaf Forests: dominated by deciduous broadleaf trees (canopy >2m). Tree cover >60%.;2050
SELS A1;1;5;20930
SELS A1;1;6;153
SELS A1;1;7;1502
SELS A1;1;8;7794
SELS A1;1;9;3106
SELS A1;2;Evergreen Needleleaf Forests: dominated by evergreen conifer trees (canopy >Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.m). Tree cover >60%.;22147
SELS A1;2;Evergreen Needleleaf Forests: dominated by evergreen conifer trees (canopy >Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.m). Tree cover >60%.0;21077
SELS A1;2;Evergreen Needleleaf Forests: dominated by evergreen conifer trees (canopy >Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.m). Tree cover >60%.Evergreen Needleleaf Forests: dominated by evergreen conifer trees (canopy >Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.m). Tree cover >60%.;12253
SELS A1;2;Evergreen Needleleaf Forests: dominated by evergreen conifer trees (canopy >Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.m). Tree cover >60%.Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.;17
