Feature ID,Feature ID,Band,Category,Count
0,SELS A1,b1,1,22292
1,SELS A1,b1,10,16909
2,SELS A1,b1,11,20550
3,SELS A1,b1,12,23
4,SELS A1,b1,13,70
5,SELS A1,b1,14,1
6,SELS A1,b1,15,17498
7,SELS A1,b1,16,106264
8,SELS A1,b1,17,36326
9,SELS A1,b1,2,14817
10,SELS A1,b1,3,4
11,SELS A1,b1,4,2050
12,SELS A1,b1,5,20930
13,SELS A1,b1,6,153
14,SELS A1,b1,7,1502
15,SELS A1,b1,8,7794
16,SELS A1,b1,9,3106
17,SELS A1,b2,1,22147
18,SELS A1,b2,10,21077
19,SELS A1,b2,11,12253
20,SELS A1,b2,12,17
21,SELS A1,b2,13,69
22,SELS A1,b2,15,16572
23,SELS A1,b2,16,106699
24,SELS A1,b2,17,37169
25,SELS A1,b2,2,14721
26,SELS A1,b2,3,1
27,SELS A1,b2,4,1957
28,SELS A1,b2,5,22589
29,SELS A1,b2,6,142
30,SELS A1,b2,7,1826
31,SELS A1,b2,8,9623
32,SELS A1,b2,9,3427
33,SELS A1,b3,1,20957
34,SELS A1,b3,10,22211
35,SELS A1,b3,11,10150
36,SELS A1,b3,12,12
37,SELS A1,b3,13,70
38,SELS A1,b3,15,16185
39,SELS A1,b3,16,106810
40,SELS A1,b3,17,37112
41,SELS A1,b3,2,14724
42,SELS A1,b3,4,2154
43,SELS A1,b3,5,24033
44,SELS A1,b3,6,118
45,SELS A1,b3,7,2023
46,SELS A1,b3,8,10081
47,SELS A1,b3,9,3649
48,SELS A1,b4,1,20297
49,SELS A1,b4,10,22787
50,SELS A1,b4,11,9128
51,SELS A1,b4,12,12
52,SELS A1,b4,13,69
53,SELS A1,b4,15,16838
54,SELS A1,b4,16,106295
55,SELS A1,b4,17,36792
56,SELS A1,b4,2,14820
57,SELS A1,b4,4,2383
58,SELS A1,b4,5,24714
59,SELS A1,b4,6,99
60,SELS A1,b4,7,2111
61,SELS A1,b4,8,10337
62,SELS A1,b4,9,3607
63,SELS A1,b5,1,19181
64,SELS A1,b5,10,24006
65,SELS A1,b5,11,8662
66,SELS A1,b5,12,11
67,SELS A1,b5,13,68
68,SELS A1,b5,15,17169
69,SELS A1,b5,16,105651
70,SELS A1,b5,17,36613
71,SELS A1,b5,2,14588
72,SELS A1,b5,4,2579
73,SELS A1,b5,5,25094
74,SELS A1,b5,6,129
75,SELS A1,b5,7,2348
76,SELS A1,b5,8,10171
77,SELS A1,b5,9,4019
78,SELS A1,b6,1,18505
79,SELS A1,b6,10,24061
80,SELS A1,b6,11,8305
81,SELS A1,b6,12,7
82,SELS A1,b6,13,70
83,SELS A1,b6,15,18040
84,SELS A1,b6,16,105375
85,SELS A1,b6,17,36557
86,SELS A1,b6,2,14253
87,SELS A1,b6,4,2680
88,SELS A1,b6,5,25942
89,SELS A1,b6,6,111
90,SELS A1,b6,7,2310
91,SELS A1,b6,8,10058
92,SELS A1,b6,9,4015
93,SELS A1,b7,1,17831
94,SELS A1,b7,10,24011
95,SELS A1,b7,11,8714
96,SELS A1,b7,12,7
97,SELS A1,b7,13,71
98,SELS A1,b7,15,18449
99,SELS A1,b7,16,105712
100,SELS A1,b7,17,36472
101,SELS A1,b7,2,14043
102,SELS A1,b7,4,2590
103,SELS A1,b7,5,25952
104,SELS A1,b7,6,80
105,SELS A1,b7,7,2252
106,SELS A1,b7,8,9953
107,SELS A1,b7,9,4152
108,SELS A1,b8,1,17546
109,SELS A1,b8,10,23803
110,SELS A1,b8,11,9357
111,SELS A1,b8,12,7
112,SELS A1,b8,13,70
113,SELS A1,b8,15,18699
114,SELS A1,b8,16,105702
115,SELS A1,b8,17,36473
116,SELS A1,b8,2,13977
117,SELS A1,b8,4,2480
118,SELS A1,b8,5,25874
119,SELS A1,b8,6,100
120,SELS A1,b8,7,2236
121,SELS A1,b8,8,9532
122,SELS A1,b8,9,4433
123,SELS A1,b9,1,17786
124,SELS A1,b9,10,23664
125,SELS A1,b9,11,9972
126,SELS A1,b9,12,7
127,SELS A1,b9,13,69
128,SELS A1,b9,15,18999
129,SELS A1,b9,16,105756
130,SELS A1,b9,17,36491
131,SELS A1,b9,2,14092
132,SELS A1,b9,4,2534
133,SELS A1,b9,5,25605
134,SELS A1,b9,6,94
135,SELS A1,b9,7,2082
136,SELS A1,b9,8,8655
137,SELS A1,b9,9,4483
138,SELS A1,b10,1,17991
139,SELS A1,b10,10,23485
140,SELS A1,b10,11,10178
141,SELS A1,b10,12,7
142,SELS A1,b10,13,69
143,SELS A1,b10,15,19414
144,SELS A1,b10,16,105842
145,SELS A1,b10,17,36398
146,SELS A1,b10,2,13970
147,SELS A1,b10,4,2702
148,SELS A1,b10,5,25225
149,SELS A1,b10,6,107
150,SELS A1,b10,7,1915
151,SELS A1,b10,8,8354
152,SELS A1,b10,9,4632
153,SELS A1,b11,1,18192
154,SELS A1,b11,10,23547
155,SELS A1,b11,11,9780
156,SELS A1,b11,12,7
157,SELS A1,b11,13,69
158,SELS A1,b11,15,19081
159,SELS A1,b11,16,106067
