search_name,scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Acacia dealbata Link,Acacia longifolia,2021-10-04 11:42:00 +1100,"Acacia longifolia (Andrews) Willd. Part of the family Fabaceae, sub family Mimosaceae, as identified by the seed pods produced in this specimen. 
A coastal shrub, the ‘leaves’ are modified phyllodes which is a characteristic of the genus Acacia. These phyllode leaves are thin and flexible with 2 main veins. The leaves are tough, smooth and are matte in texture. The Acacia genus has a particular of inflorescence whereby flowers are petite, often golden yellow, consisting of multitudes of stamens and flowers are distinctly clustered (in this case into a cylinder). There are two subspecies of the Acacia longifolia, this is most likely Acacia longifolia var.sophorae, as it was growing in sandy soils, was a low sprawling shrub, and has blunt and broader phyllode leaves, whereas Acacia longifolia var. longifolia is a taller shrub, in damper areas with longer, narrower phyllode leaves (as described in Les Robinsons field guide to the native plants of Sydney).
","Sydney NSW, Australia",-33.9018555556,151.2253277778,,Longleaf Wattle,https://www.inaturalist.org/observations/98359681,https://inaturalist-open-data.s3.amazonaws.com/photos/163744057/medium.jpg,marsjupitersaturn,98359681,longleaf wattle,Plantae,63379,1,0,2021/10/04 11:42 AM AEDT,2021-10-04,2021-10-04 00:42:00 UTC,Sydney,5,5,NA,NA,false,NA,NA,5043617,,2021-10-16 09:29:14 UTC,2022-01-23 06:39:28 UTC,research,CC-BY-NC,NA,NA,false
Acacia dealbata Link,Acacia longifolia,2016-09-11 00:00:00 +1200,"<em>Locality: NEW ZEALAND AK, Auckland 1010, Auckland Central/suburb of Grey Lynn, Newton, 1-3 Winchester St.

<em>Habitat: Several plants growing wild. Mostly past flowering.

<em>Identification: </em><a href=""http://naturewatch.org.nz/listed_taxa/5328038"">Acacia longifolia</a><em> (Andrews) Willd., 1806.",Auckland 1010,-36.861062,174.754454,,Longleaf Wattle,http://naturewatch.org.nz/observations/4081029,https://inaturalist-open-data.s3.amazonaws.com/photos/4841241/medium.jpeg,stephen_thorpe,4081029,Sydney golden wattle,Plantae,63379,1,0,2016-09-11,2016-09-11,,Auckland,10,10,NA,NA,false,NA,NA,15329,Stephen Thorpe,2016-09-10 22:34:40 UTC,2016-09-11 05:39:33 UTC,research,CC-BY-NC,NA,NA,false
Acacia dealbata Link,Acacia longifolia,2016-09-09 00:00:00 +1200,"<em>Locality: NEW ZEALAND AK, Auckland 1010, suburb of Eden Terrace, 55 France St S.

<em>Habitat: Growing in a tiny urban reserve.

<em>Identification: </em><a href=""http://naturewatch.org.nz/listed_taxa/5328038"">Acacia longifolia</a><em> (Andrews) Willd., 1806.","55 France St S, Eden Terrace, Auckland 1010",-36.861083,174.757928,,Longleaf Wattle,http://naturewatch.org.nz/observations/4066888,https://inaturalist-open-data.s3.amazonaws.com/photos/4819819/medium.jpeg,stephen_thorpe,4066888,Sydney golden wattle,Plantae,63379,1,0,2016-09-09,2016-09-09,,Auckland,6,6,NA,NA,false,NA,NA,15329,Stephen Thorpe,2016-09-08 21:32:48 UTC,2017-11-11 22:03:55 UTC,research,CC-BY-NC,NA,NA,false
Acacia dealbata Link,Acacia longifolia,2016-08-21 00:00:00 +1200,"<em>Locality: NEW ZEALAND AK, suburb of Saint Johns, Colin Maiden Park/Ngahue Reserve block.

<em>Habitat: A group of shrubby trees growing in a wasteland area.

<em>Identification: </em><a href=""http://naturewatch.org.nz/listed_taxa/5328038"">Acacia longifolia</a><em> (Andrews) Willd., 1806.","Colin Maiden Park/Ngahue Reserve block, St Johns, Auckland",-36.88045,174.845115,,Longleaf Wattle,http://naturewatch.org.nz/observations/3927985,https://inaturalist-open-data.s3.amazonaws.com/photos/4622729/medium.jpeg,stephen_thorpe,3927985,Sydney golden wattle,Plantae,63379,1,0,2016-08-21,2016-08-21,,Auckland,29,29,NA,NA,false,NA,NA,15329,Stephen Thorpe,2016-08-21 00:08:05 UTC,2016-08-21 02:48:56 UTC,research,CC-BY-NC,NA,NA,false
Acacia dealbata Link,Acacia longifolia,2016-07-29 00:00:00 +1200,"<em>Locality: NEW ZEALAND AK, suburb of Saint Johns, Morrin Road, just outside perimeter fence of University of Auckland Tamaki Campus, at gate 1.

<em>Habitat: Wild? Same individual as in <a href=""http://naturewatch.org.nz/observations/1011749"">this observation</a>.

<em>Identification: </em><a href=""http://naturewatch.org.nz/listed_taxa/5328038"">Acacia longifolia</a><em> (Andrews) Willd., 1806.

<em>NOTE: Beating the flowers and foliage revealed only numerous adults of <a href=""http://naturewatch.org.nz/observations/3762775"">NITIDULIDAE sp. ST1</a>.","Saint Johns, Auckland",-36.881677141,174.8511739075,,Longleaf Wattle,http://naturewatch.org.nz/observations/3762721,https://inaturalist-open-data.s3.amazonaws.com/photos/4383222/medium.jpeg,stephen_thorpe,3762721,Sydney golden wattle,Plantae,63379,1,0,2016-07-29,2016-07-29,,Auckland,1,1,NA,NA,false,NA,NA,15329,Stephen Thorpe,2016-07-29 04:11:08 UTC,2020-06-20 03:35:22 UTC,research,CC-BY-NC,NA,NA,false
Acacia dealbata Link,Acacia longifolia,2015-09-11 00:00:00 +1200,"<em>Locality: NEW ZEALAND AK, Auckland Central, 106 Cook St.

<em>Habitat: A group of plants, growing wild?

<em>Identification: </em><a href=""http://naturewatch.org.nz/listed_taxa/5328038"">Acacia longifolia</a><em> (Andrews) Willd., 1806.","106 Cook St, Auckland Central",-36.850397,174.754775,,Longleaf Wattle,http://naturewatch.org.nz/observations/1934679,https://inaturalist-open-data.s3.amazonaws.com/photos/2367003/medium.JPG,stephen_thorpe,1934679,Sydney golden wattle,Plantae,63379,1,0,2015-09-11,2015-09-11,,Auckland,7,7,NA,NA,false,NA,NA,15329,Stephen Thorpe,2015-09-11 00:59:27 UTC,2020-06-19 23:20:51 UTC,research,CC-BY-NC,NA,NA,false
Acacia dealbata Link,Acacia longifolia,2015-09-07 00:00:00 +1200,"<em>Locality: NEW ZEALAND AK, Auckland Central, 37 Alten Rd.

<em>Habitat: Margin of unsealed carpark area.

<em>Identification: </em><a href=""http://naturewatch.org.nz/listed_taxa/5328038"">Acacia longifolia</a><em> (Andrews) Willd., 1806.","37 Alten Rd, Auckland Central",-36.852842,174.773229,,Longleaf Wattle,http://naturewatch.org.nz/observations/1922975,https://inaturalist-open-data.s3.amazonaws.com/photos/2350784/medium.JPG,stephen_thorpe,1922975,Sydney Golden Wattle,Plantae,63379,1,0,2015-09-07,2015-09-07,,Auckland,5,5,NA,NA,false,NA,NA,15329,Stephen Thorpe,2015-09-07 00:11:55 UTC,2016-03-07 03:22:57 UTC,research,CC-BY-NC,NA,NA,false
Acacia dealbata Link,Acacia longifolia,2014-08-09 00:00:00 +1200,"<em>Locality: NEW ZEALAND AK, suburb of Saint Johns, Morrin Road, just outside perimeter fence of University of Auckland Tamaki Campus, at gate 1.

<em>Habitat: Wild?

<em>Identification: </em><a href=""http://naturewatch.org.nz/listed_taxa/5328038"">Acacia longifolia</a><em> (Andrews) Willd., 1806.","Saint Johns, Auckland",-36.881677141,174.8511739075,August flowers,Longleaf Wattle,http://naturewatch.org.nz/observations/416290,https://s3.amazonaws.com/static.inaturalist.org/photos/1272333/medium.,stephen_thorpe,1011749,Sydney golden wattle,Plantae,63379,1,0,2014-08-09,2014-08-09,,Auckland,1,1,NA,NA,false,NA,NA,15329,Stephen Thorpe,2014-08-09 05:34:45 UTC,2017-11-11 22:03:46 UTC,research,CC-BY,NA,NA,false
Acacia mearnsii De Wild.,Scrophularia grandiflora,2023-04-13 14:45:20 +0100,"Indiv. 5
Eco: Vicia spp., A. altissima, C. selloana, L. ochrus, D. viscosa subp. viscosa, N. oleander, C, hispanica, Rubus sp., Acer negundo.","Bairro do Lufapo, Coimbra, Centro, PT",40.228875,-8.44013,,,https://www.inaturalist.org/observations/154697493,https://inaturalist-open-data.s3.amazonaws.com/photos/267326412/medium.jpg,alexandrerochasantos,154697493,Scrophularia grandiflora,Plantae,483252,1,0,2023-04-13 14:45:20+01:00,2023-04-13,2023-04-13 13:45:20 UTC,Lisbon,7,7,,,false,,,2687827,Alexandre Rocha Santos,2023-04-13 14:09:37 UTC,2023-04-13 18:56:16 UTC,research,CC-BY-NC,NA,3,false
Acacia mearnsii De Wild.,Scrophularia grandiflora,2023-04-13 14:48:07 +0100,"Indiv. 5
Eco: Vicia spp., A. altissima, C. selloana, L. ochrus, D. viscosa subp. viscosa, N. oleander, C, hispanica, Rubus sp., Acer negundo.","Bairro do Loreto, Coimbra, Centro, PT",40.22873,-8.439925,,,https://www.inaturalist.org/observations/154697112,https://inaturalist-open-data.s3.amazonaws.com/photos/267325763/medium.jpg,alexandrerochasantos,154697112,Scrophularia grandiflora,Plantae,483252,2,0,2023-04-13 14:48:07+01:00,2023-04-13,2023-04-13 13:48:07 UTC,Lisbon,21,21,,,false,,,2687827,Alexandre Rocha Santos,2023-04-13 14:05:55 UTC,2023-04-13 19:32:08 UTC,research,CC-BY-NC,NA,3,false
