search_name,uuid,occurrenceid,catalognumber,family,genus,scientificname,country,stateprovince,geopoint.lon,geopoint.lat,datecollected,collector,recordset,year
Acacia dealbata Link,59f613b5-9d89-4e10-9354-4fce5153ebe9,s:vascularplants:s19-22823,s19-22823,fabaceae,acacia,acacia dealbata link,argentina,mendoza,NA,NA,NA,f. a. smitt,fc014977-92f7-47fd-92d7-b609c39d8212,NA
Acacia dealbata Link,7add8e36-1985-4953-a229-3fef9fc41b30,s:vascularplants:s19-22826,s19-22826,fabaceae,acacia,acacia dealbata link,argentina,buenos aires,NA,NA,1901-12-19,c. skottsberg,fc014977-92f7-47fd-92d7-b609c39d8212,1901
Acacia longifolia (Andrews) Willd.,1fa5c38d-4e87-4495-9e8a-4c95ebdadb99,urn:catalog:jbrj:rb:158366,rb00158366,leguminosae,acacia,acacia longifolia (andrews) willd.,brasil,santa catarina,NA,NA,NA,p. r. reitz,953b0329-c3e4-4816-a038-7afbd2bb2547,NA
Acacia longifolia (Andrews) Willd.,4e83b959-2eb3-4358-a732-9f2329cec86f,urn:catalog:jbrj:rb:158349,rb00158349,leguminosae,acacia,acacia longifolia (andrews) willd.,brasil,são paulo,NA,NA,NA,w. hoehne,953b0329-c3e4-4816-a038-7afbd2bb2547,NA
Acacia longifolia (Andrews) Willd.,7001434a-45e8-41f6-b528-bb99828cd30b,urn:catalog:jbrj:rb:158371,rb00158371,leguminosae,acacia,acacia longifolia (andrews) willd.,brasil,paraná,NA,NA,NA,j. cordeiro,953b0329-c3e4-4816-a038-7afbd2bb2547,NA
Acacia longifolia (Andrews) Willd.,80a30edb-4913-489c-b299-8d1cf70a4eb6,urn:catalog:jbrj:rb:158360,rb00158360,leguminosae,acacia,acacia longifolia (andrews) willd.,brasil,NA,NA,NA,NA,p. ernani,953b0329-c3e4-4816-a038-7afbd2bb2547,NA
Acacia longifolia (Andrews) Willd.,9e0365be-0a2b-450a-81c4-cac8c1e128e2,s:vascularplants:s19-22780,s19-22780,fabaceae,acacia,acacia longifolia (andrews) willd.,argentina,mendoza,NA,NA,NA,f. a. smitt,fc014977-92f7-47fd-92d7-b609c39d8212,NA
Acacia longifolia (Andrews) Willd.,da682bb7-00c5-4e4e-a9b4-19ecc3d058b0,urn:catalog:jbrj:rb:658397,rb00658397,leguminosae,acacia,acacia longifolia (andrews) willd.,brasil,santa catarina,NA,NA,NA,a. korte; m.j. rigon- jr,953b0329-c3e4-4816-a038-7afbd2bb2547,NA
Acacia mearnsii De Wild.,1dac8ec4-0b77-47f6-9a16-38d153d37ee8,urn:catalog:jbrj:rb:158985,rb00158985,fabaceae,acacia,acacia mearnsii de wild.,brasil,são paulo,-45.0047222,-22.0075,NA,j. c. c. ururahy,953b0329-c3e4-4816-a038-7afbd2bb2547,NA
Acacia mearnsii De Wild.,2857eb95-6aaa-4c19-bbda-1b6fcc972fda,urn:catalog:jbrj:rb:158976,rb00158976,fabaceae,acacia,acacia mearnsii de wild.,brasil,paraná,NA,NA,NA,NA,953b0329-c3e4-4816-a038-7afbd2bb2547,NA
